w_text,w_cat,w_spec,Precision@5,Diversity@5,Composite
0.05,0.05,0.9,0.9413333333333332,0.44399999999999995,0.7921333333333332
0.1,0.05,0.85,0.9139999999999999,0.3746666666666667,0.7522
0.05,0.1,0.85,0.9053333333333332,0.35200000000000004,0.7393333333333333
0.1,0.1,0.8,0.8926666666666665,0.30666666666666664,0.7168666666666664
0.05,0.15,0.8,0.8966666666666666,0.28600000000000003,0.7134666666666666
0.15,0.05,0.8,0.8766666666666667,0.32,0.7096666666666667
0.05,0.2,0.75,0.8853333333333332,0.24800000000000003,0.6941333333333333
0.1,0.15,0.75,0.8733333333333333,0.26,0.6893333333333334
0.15,0.1,0.75,0.8646666666666666,0.2733333333333333,0.6872666666666666
0.05,0.25,0.7,0.88,0.22599999999999998,0.6838
0.05,0.3,0.65,0.8746666666666666,0.21399999999999997,0.6764666666666667
0.2,0.05,0.75,0.8466666666666667,0.2786666666666667,0.6762666666666667
0.05,0.35,0.6,0.8726666666666667,0.206,0.6726666666666666
0.05,0.4,0.55,0.8693333333333332,0.20066666666666663,0.6687333333333332
0.05,0.45,0.5,0.8693333333333334,0.19999999999999998,0.6685333333333334
0.1,0.2,0.7,0.8546666666666666,0.23333333333333334,0.6682666666666666
0.05,0.5,0.45,0.8679999999999999,0.19999999999999998,0.6676
0.15,0.15,0.7,0.8433333333333334,0.2446666666666667,0.6637333333333334
0.2,0.1,0.7,0.8393333333333334,0.25333333333333335,0.6635333333333333
0.05,0.55,0.4,0.8546666666666666,0.19999999999999998,0.6582666666666667
0.1,0.25,0.65,0.8426666666666666,0.21666666666666667,0.6548666666666666
0.1,0.3,0.6,0.8426666666666667,0.20799999999999996,0.6522666666666667
0.05,0.6,0.35,0.8453333333333333,0.19999999999999998,0.6517333333333333
0.25,0.05,0.7,0.8193333333333334,0.25933333333333336,0.6513333333333333
0.2,0.15,0.65,0.83,0.22799999999999998,0.6494
0.05,0.65,0.3,0.8413333333333334,0.19999999999999998,0.6489333333333334
0.15,0.2,0.65,0.8306666666666667,0.21999999999999995,0.6474666666666665
0.1,0.35,0.55,0.836,0.2033333333333333,0.6462
0.25,0.1,0.65,0.8206666666666667,0.23866666666666664,0.6460666666666666
0.1,0.4,0.5,0.83,0.19999999999999998,0.641
0.05,0.7,0.25,0.83,0.19999999999999998,0.641
0.1,0.45,0.45,0.8233333333333334,0.19999999999999998,0.6363333333333334
0.3,0.05,0.65,0.8039999999999999,0.24266666666666667,0.6355999999999999
0.25,0.15,0.6,0.8126666666666668,0.22199999999999998,0.6354666666666667
0.15,0.25,0.6,0.8119999999999998,0.20999999999999996,0.6313999999999997
0.05,0.75,0.2,0.814,0.19999999999999998,0.6298
0.1,0.5,0.4,0.814,0.19999999999999998,0.6298
0.2,0.2,0.6,0.8066666666666666,0.21666666666666667,0.6296666666666667
0.3,0.1,0.6,0.8013333333333333,0.2273333333333333,0.6291333333333333
0.15,0.3,0.55,0.8106666666666666,0.204,0.6286666666666666
0.1,0.55,0.35,0.8086666666666666,0.19999999999999998,0.6260666666666667
0.15,0.35,0.5,0.8059999999999999,0.2013333333333333,0.6245999999999999
0.35,0.05,0.6,0.7886666666666665,0.23199999999999998,0.6216666666666665
0.25,0.2,0.55,0.7959999999999999,0.212,0.6207999999999999
0.3,0.15,0.55,0.7939999999999999,0.21533333333333332,0.6204
0.35,0.1,0.55,0.7879999999999999,0.21799999999999997,0.6169999999999999
0.05,0.8,0.15,0.7919999999999999,0.19999999999999998,0.6144
0.1,0.6,0.3,0.7919999999999999,0.19999999999999998,0.6144
0.15,0.4,0.45,0.7919999999999999,0.19999999999999998,0.6144
0.3,0.2,0.5,0.7859999999999999,0.2093333333333333,0.6129999999999999
0.2,0.25,0.55,0.7866666666666666,0.206,0.6124666666666666
0.15,0.45,0.4,0.7879999999999999,0.19999999999999998,0.6115999999999999
0.35,0.15,0.5,0.7813333333333332,0.21,0.6099333333333332
0.2,0.3,0.5,0.7839999999999999,0.2033333333333333,0.6098
0.1,0.65,0.25,0.7853333333333333,0.19999999999999998,0.6097333333333333
0.4,0.05,0.55,0.7739999999999999,0.2213333333333333,0.6082
0.25,0.25,0.5,0.7766666666666666,0.20733333333333331,0.6058666666666667
0.35,0.2,0.45,0.7759999999999999,0.20799999999999996,0.6055999999999999
0.15,0.5,0.35,0.7786666666666666,0.19999999999999998,0.6050666666666666
0.4,0.1,0.5,0.772,0.21466666666666664,0.6048
0.2,0.35,0.45,0.7766666666666666,0.20066666666666663,0.6038666666666667
0.4,0.15,0.45,0.7673333333333333,0.20866666666666664,0.5997333333333332
0.3,0.25,0.45,0.7673333333333333,0.206,0.5989333333333332
0.05,0.85,0.1,0.7666666666666667,0.19999999999999998,0.5966666666666667
0.1,0.7,0.2,0.7666666666666667,0.19999999999999998,0.5966666666666667
0.15,0.55,0.3,0.7666666666666667,0.19999999999999998,0.5966666666666667
0.2,0.4,0.4,0.7666666666666667,0.19999999999999998,0.5966666666666667
0.45,0.05,0.5,0.7579999999999999,0.21533333333333332,0.5951999999999998
0.25,0.3,0.45,0.7613333333333333,0.20199999999999999,0.5935333333333332
0.2,0.45,0.35,0.7606666666666666,0.19999999999999998,0.5924666666666666
0.35,0.25,0.4,0.758,0.204,0.5918
0.15,0.6,0.25,0.7593333333333332,0.19999999999999998,0.5915333333333332
0.45,0.1,0.45,0.7533333333333333,0.20933333333333332,0.5901333333333333
0.4,0.2,0.4,0.7546666666666666,0.2033333333333333,0.5892666666666666
0.25,0.35,0.4,0.7546666666666666,0.19999999999999998,0.5882666666666666
0.2,0.5,0.3,0.7533333333333333,0.19999999999999998,0.5873333333333334
0.1,0.75,0.15,0.7533333333333333,0.19999999999999998,0.5873333333333334
0.25,0.4,0.35,0.7519999999999999,0.19999999999999998,0.5863999999999999
0.15,0.65,0.2,0.7493333333333333,0.19999999999999998,0.5845333333333333
0.45,0.2,0.35,0.7479999999999999,0.2013333333333333,0.5839999999999999
0.3,0.3,0.4,0.7473333333333333,0.20199999999999999,0.5837333333333332
0.45,0.15,0.4,0.744,0.20666666666666664,0.5828
0.5,0.05,0.45,0.7399999999999999,0.21,0.581
0.2,0.55,0.25,0.7440000000000001,0.19999999999999998,0.5808000000000001
0.25,0.45,0.3,0.742,0.19999999999999998,0.5794
0.4,0.25,0.35,0.7413333333333333,0.2013333333333333,0.5793333333333333
0.5,0.1,0.4,0.736,0.20799999999999996,0.5776
0.3,0.35,0.35,0.7393333333333334,0.19999999999999998,0.5775333333333335
0.5,0.15,0.35,0.7313333333333334,0.204,0.5731333333333334
0.35,0.3,0.35,0.7313333333333333,0.20066666666666663,0.5721333333333333
0.45,0.25,0.3,0.7306666666666666,0.2013333333333333,0.5718666666666666
0.55,0.05,0.4,0.7266666666666667,0.20933333333333332,0.5714666666666666
0.4,0.3,0.3,0.7279999999999999,0.20066666666666663,0.5697999999999999
0.5,0.2,0.3,0.7253333333333333,0.20199999999999999,0.5683333333333332
0.05,0.9,0.05,0.7260000000000001,0.19999999999999998,0.5682
0.2,0.6,0.2,0.7260000000000001,0.19999999999999998,0.5682
0.1,0.8,0.1,0.7260000000000001,0.19999999999999998,0.5682
0.3,0.4,0.3,0.7260000000000001,0.19999999999999998,0.5682
0.15,0.7,0.15,0.7260000000000001,0.19999999999999998,0.5682
0.25,0.5,0.25,0.7260000000000001,0.19999999999999998,0.5682
0.3,0.45,0.25,0.722,0.19999999999999998,0.5654
0.45,0.3,0.25,0.7213333333333333,0.20066666666666663,0.5651333333333333
0.35,0.35,0.3,0.7213333333333334,0.19999999999999998,0.5649333333333334
0.55,0.1,0.35,0.7186666666666667,0.2053333333333333,0.5646666666666667
0.2,0.65,0.15,0.72,0.19999999999999998,0.5640000000000001
0.25,0.55,0.2,0.72,0.19999999999999998,0.5640000000000001
0.5,0.25,0.25,0.7186666666666666,0.2013333333333333,0.5634666666666666
0.15,0.75,0.1,0.7186666666666668,0.19999999999999998,0.5630666666666668
0.3,0.5,0.2,0.7186666666666668,0.19999999999999998,0.5630666666666668
0.55,0.15,0.3,0.7166666666666667,0.20266666666666666,0.5624666666666666
0.35,0.4,0.25,0.7153333333333333,0.19999999999999998,0.5607333333333333
0.4,0.35,0.25,0.7126666666666667,0.19999999999999998,0.5588666666666666
0.25,0.6,0.15,0.7126666666666666,0.19999999999999998,0.5588666666666666
0.55,0.2,0.25,0.7106666666666667,0.2013333333333333,0.5578666666666666
0.6,0.05,0.35,0.7073333333333333,0.20666666666666667,0.5571333333333333
0.5,0.3,0.2,0.7080000000000001,0.20066666666666663,0.5558000000000001
0.35,0.45,0.2,0.7073333333333334,0.19999999999999998,0.5551333333333334
0.1,0.85,0.05,0.7053333333333334,0.19999999999999998,0.5537333333333333
0.3,0.55,0.15,0.7053333333333334,0.19999999999999998,0.5537333333333333
0.2,0.7,0.1,0.7053333333333334,0.19999999999999998,0.5537333333333333
0.45,0.35,0.2,0.7046666666666666,0.19999999999999998,0.5532666666666666
0.55,0.25,0.2,0.7033333333333334,0.20066666666666663,0.5525333333333333
0.4,0.4,0.2,0.7033333333333334,0.19999999999999998,0.5523333333333333
0.6,0.1,0.3,0.7006666666666667,0.20466666666666664,0.5518666666666666
0.5,0.35,0.15,0.7006666666666667,0.19999999999999998,0.5504666666666667
0.35,0.5,0.15,0.7,0.19999999999999998,0.5499999999999999
0.6,0.15,0.25,0.6986666666666667,0.20199999999999999,0.5496666666666666
0.25,0.65,0.1,0.6986666666666668,0.19999999999999998,0.5490666666666667
0.6,0.2,0.2,0.6973333333333332,0.2013333333333333,0.5485333333333332
0.65,0.05,0.3,0.6953333333333334,0.2053333333333333,0.5483333333333333
0.15,0.8,0.05,0.6966666666666667,0.19999999999999998,0.5476666666666666
0.3,0.6,0.1,0.6966666666666667,0.19999999999999998,0.5476666666666666
0.55,0.3,0.15,0.696,0.19999999999999998,0.5471999999999999
0.45,0.4,0.15,0.6953333333333332,0.19999999999999998,0.5467333333333333
0.4,0.45,0.15,0.6953333333333334,0.19999999999999998,0.5467333333333333
0.6,0.25,0.15,0.6946666666666667,0.2013333333333333,0.5466666666666666
0.55,0.4,0.05,0.6946666666666665,0.19999999999999998,0.5462666666666666
0.2,0.75,0.05,0.6926666666666667,0.19999999999999998,0.5448666666666666
0.5,0.4,0.1,0.6926666666666667,0.19999999999999998,0.5448666666666666
0.4,0.5,0.1,0.6913333333333332,0.19999999999999998,0.5439333333333333
0.35,0.55,0.1,0.6913333333333332,0.19999999999999998,0.5439333333333333
0.25,0.7,0.05,0.6906666666666667,0.19999999999999998,0.5434666666666667
0.6,0.3,0.1,0.69,0.20066666666666663,0.5431999999999999
